peca;pagina;largura;altura;divergentes;total;pct;bytes_vsb
Chopin_Etude_Op10_No9;1;2100;2970;2028;6237000;0.032516;287608
Chopin_Etude_Op10_No9;2;2100;2970;1754;6237000;0.028122;287583
Chopin_Etude_Op10_No9;3;2100;2970;142;6237000;0.002277;287581
Chopin_Etude_Op10_No9;4;2100;2970;181;6237000;0.002902;287589
Chopin_Mazurka_Op6_No1;1;2100;2970;868;6237000;0.013917;222468
Chopin_Mazurka_Op6_No1;2;2100;2970;361;6237000;0.005788;222375
Chopin_Mazurka_Op6_No1;3;2100;2970;81;6237000;0.001299;222423
Grieg_Butterfly_Op43_No1;1;2100;2970;124;6237000;0.001988;218585
Grieg_Butterfly_Op43_No1;2;2100;2970;89;6237000;0.001427;218535
Grieg_Butterfly_Op43_No1;3;2100;2970;31;6237000;0.000497;218519
Grieg_Little_bird_Op43_No4;1;2100;2970;100;6237000;0.001603;140358
Grieg_Little_bird_Op43_No4;2;2100;2970;59;6237000;0.000946;140440
Scarlatti_Sonata_in_C-major;1;2100;2970;208;6237000;0.003335;170243
Scarlatti_Sonata_in_C-major;2;2100;2970;54;6237000;0.000866;170255
Scarlatti_Sonata_in_C-major;3;2100;2970;61;6237000;0.000978;170285
Chopin_-_Nocturne_Op._9_No._1;1;2100;2970;595;6237000;0.009540;471222
Chopin_-_Nocturne_Op._9_No._1;2;2100;2970;307;6237000;0.004922;471276
Chopin_-_Nocturne_Op._9_No._1;3;2100;2970;999;6237000;0.016017;471093
Chopin_-_Nocturne_Op._9_No._1;4;2100;2970;1267;6237000;0.020314;471291
Chopin_-_Nocturne_Op._9_No._1;5;2100;2970;580;6237000;0.009299;471085
Chopin_-_Nocturne_Op._9_No._1;6;2100;2970;552;6237000;0.008850;471066
Chopin_-_Nocturne_Op._9_No._1;7;2100;2970;448;6237000;0.007183;471180
Clair_de_Lune__Debussy;1;2100;2970;2453;6237000;0.039330;380556
Clair_de_Lune__Debussy;2;2100;2970;498;6237000;0.007985;380782
Clair_de_Lune__Debussy;3;2100;2970;278;6237000;0.004457;380821
Clair_de_Lune__Debussy;4;2100;2970;483;6237000;0.007744;380740
Clair_de_Lune__Debussy;5;2100;2970;468;6237000;0.007504;380502
Erik_Satie_-_Gymnopedie_No.1;1;2100;2970;1760;6237000;0.028219;90947
Erik_Satie_-_Gymnopedie_No.1;2;2100;2970;41;6237000;0.000657;90913
Maple_Leaf_Rag_Scott_Joplin;1;2100;2970;548;6237000;0.008786;313434
Maple_Leaf_Rag_Scott_Joplin;2;2100;2970;411;6237000;0.006590;313604
Maple_Leaf_Rag_Scott_Joplin;3;2100;2970;153;6237000;0.002453;313527
Prelude_I_in_C_major_BWV_846_-_Well_Tempered_Clavier_First_Book;1;2100;2970;510;6237000;0.008177;145765
Prelude_I_in_C_major_BWV_846_-_Well_Tempered_Clavier_First_Book;2;2100;2970;169;6237000;0.002710;145709
